 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 18.5/(FRExt)| 22-Ma | 17:26 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1115   |              0   |
| 18.5/(FRExt)| 22-Ma | 17:30 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1119   |              0   |
| 18.5/(FRExt)| 22-Ma | 17:32 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1117   |              0   |
| 18.5/(FRExt)| 22-Ma | 17:36 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1116   |              0   |
| 18.5/(FRExt)| 23-Ma | 09:44 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1162   |              0   |
| 18.5/(FRExt)| 23-Ma | 09:45 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1121   |              0   |
| 18.5/(FRExt)| 23-Ma | 09:46 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1115   |              0   |
| 18.5/(FRExt)| 23-Ma | 09:56 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1122   |              0   |
| 18.5/(FRExt)| 23-Ma | 09:57 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1116   |              0   |
| 18.5/(FRExt)| 23-Ma | 09:58 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1121   |              0   |
